date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,523105,49,270
01-05-2025,Andhra Pradesh,West Godavari,534134,76,433
01-05-2025,Chhattisgarh,Bastar,494442,162,1256
01-05-2025,Tamil Nadu,Viluppuram,605602,65,457
01-05-2025,Andhra Pradesh,Kurnool,518348,53,327
01-05-2025,Madhya Pradesh,Ujjain,456001,190,941
01-05-2025,Madhya Pradesh,Guna,473101,101,679
01-05-2025,West Bengal,Puruliya,723212,43,417
01-05-2025,Madhya Pradesh,Sidhi,486775,84,622
01-05-2025,Andhra Pradesh,Parvathipuram Manyam,535591,20,100
01-05-2025,Andhra Pradesh,Guntur,522003,132,797
01-05-2025,Haryana,Jind,126114,31,190
01-05-2025,Andhra Pradesh,Kurnool,518347,108,453
01-05-2025,Karnataka,Bidar,585401,156,590
01-05-2025,Uttar Pradesh,Jhansi,284002,159,1420
01-05-2025,Haryana,Fatehabad,125120,72,555
01-05-2025,Madhya Pradesh,Bhopal,462001,264,1709
01-05-2025,Tamil Nadu,Coimbatore,641032,26,242
01-05-2025,Gujarat,Bhavnagar,364290,189,1683
01-05-2025,Madhya Pradesh,Jhabua,457777,180,1095
01-05-2025,Madhya Pradesh,Dhar,454660,80,509
01-05-2025,Andhra Pradesh,West Godavari,534281,56,459
01-05-2025,Andhra Pradesh,Ananthapuramu,515731,54,198
01-05-2025,Haryana,Gurgaon,122103,169,998
01-05-2025,Madhya Pradesh,Rewa,486553,133,637
01-05-2025,Chhattisgarh,Raipur,493225,108,1380
01-05-2025,Karnataka,Koppal,583231,174,420
01-05-2025,Haryana,Karnal,132114,102,667
01-05-2025,Andhra Pradesh,Visakhapatnam,530040,125,743
01-05-2025,Karnataka,Haveri,581106,67,335
01-05-2025,Andhra Pradesh,Chittoor,517432,69,372
01-05-2025,Andhra Pradesh,Vizianagaram,535558,66,494
01-05-2025,Madhya Pradesh,Chhindwara,480106,86,458
01-05-2025,Madhya Pradesh,Mandla,481995,247,1100
01-05-2025,Uttar Pradesh,Muzaffarnagar,251002,263,1993
01-05-2025,Madhya Pradesh,Rajgarh,465683,108,264
01-05-2025,Maharashtra,Thane,421301,372,2336
01-05-2025,Andhra Pradesh,Kurnool,518001,217,1040
01-05-2025,Karnataka,Bagalkot,587116,258,479
01-05-2025,West Bengal,Birbhum,731234,81,878
01-05-2025,Chhattisgarh,Baloda Bazar,493118,195,2667
01-05-2025,Uttarakhand,Nainital,263139,500,3370
01-05-2025,Gujarat,Morbi,363642,72,424
01-05-2025,Maharashtra,Pune,411057,122,1182
01-05-2025,Madhya Pradesh,Bhopal,462043,83,442
01-05-2025,Delhi,South West Delhi,110045,392,3367
01-05-2025,Delhi,North West Delhi,110035,141,1356
01-05-2025,Karnataka,Mandya,571422,70,358
01-05-2025,Madhya Pradesh,Anuppur,484886,72,246
01-05-2025,Gujarat,Rajkot,360005,201,1932
01-05-2025,Puducherry,Puducherry,605110,86,367
01-05-2025,Haryana,Charkhi Dadri,127306,147,768
01-05-2025,Karnataka,Dharwad,581204,130,334
01-05-2025,Jammu and Kashmir,Budgam,191111,232,377
01-05-2025,Maharashtra,Thane,421302,455,4290
01-05-2025,Andhra Pradesh,Visakhapatnam,530041,44,438
01-05-2025,West Bengal,South 24 Parganas,743503,146,1488
01-05-2025,Andhra Pradesh,Tirupati,517507,135,637
01-05-2025,Madhya Pradesh,Anuppur,484224,101,406
01-05-2025,Karnataka,Bengaluru,560105,104,573
01-05-2025,Madhya Pradesh,Dindori,481778,192,579
01-05-2025,Andhra Pradesh,Kurnool,518350,66,288
01-05-2025,Andhra Pradesh,Annamayya,517214,78,448
01-05-2025,Karnataka,Chikkamagaluru,577548,74,192
01-05-2025,Andhra Pradesh,Nandyal,518122,16,117
01-05-2025,Telangana,Hyderabad,500018,108,743
