date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-05-2025,Karnataka,Bengaluru,560036,74,71,24
01-05-2025,Karnataka,Bengaluru,560068,164,120,80
01-05-2025,Madhya Pradesh,Chhatarpur,471405,185,155,12
01-05-2025,Meghalaya,East Khasi Hills,793004,27,54,21
01-05-2025,Maharashtra,Pune,411037,94,33,10
01-05-2025,Rajasthan,Bikaner,334001,421,164,20
01-05-2025,Madhya Pradesh,Bhind,477331,64,25,12
01-05-2025,Uttar Pradesh,Bareilly,243001,556,328,34
01-05-2025,Gujarat,Gandhinagar,382721,251,28,16
01-05-2025,Uttar Pradesh,Aligarh,202132,98,50,17
01-05-2025,Maharashtra,Nandurbar,425432,70,40,10
01-05-2025,Meghalaya,East Khasi Hills,793015,75,393,347
01-05-2025,Bihar,West Champaran,845455,303,406,37
01-05-2025,Meghalaya,East Khasi Hills,793009,19,97,108
01-05-2025,Madhya Pradesh,Panna,488001,140,71,13
01-05-2025,Karnataka,Bengaluru,560045,187,65,15
01-05-2025,Uttar Pradesh,Fatehpur,212601,274,224,11
01-05-2025,Bihar,East Champaran,845303,168,524,42
01-05-2025,Bihar,Gaya,824235,39,233,13
01-05-2025,Gujarat,Banaskantha,385135,46,30,10
01-05-2025,Bihar,Madhubani,847226,366,231,16
01-05-2025,Karnataka,Bangalore Rural,560067,49,15,12
01-05-2025,Assam,Udalguri,784190,23,15,35
01-05-2025,Uttar Pradesh,Bahraich,271801,251,211,13
01-05-2025,Gujarat,Rajkot,360002,213,47,20
01-05-2025,Karnataka,Bangalore Rural,562114,127,20,17
01-05-2025,Meghalaya,East Khasi Hills,793021,30,48,63
01-05-2025,Assam,Goalpara,783101,94,118,19
01-05-2025,Bihar,West Champaran,845449,312,476,18
01-05-2025,Madhya Pradesh,Khandwa,450661,47,21,10
01-05-2025,Uttar Pradesh,Pilibhit,262001,781,309,11
01-05-2025,Assam,Dibrugarh,786612,16,12,12
01-05-2025,Assam,Karimganj,788712,71,67,62
01-05-2025,West Bengal,Kalimpong,734301,12,39,27
01-05-2025,Uttar Pradesh,Deoria,274202,160,197,10
01-05-2025,West Bengal,Darjeeling,734429,83,52,17
01-05-2025,Gujarat,Banaskantha,385110,56,126,31
01-05-2025,Bihar,Madhubani,847232,150,155,19
01-05-2025,Maharashtra,Mumbai Suburban,400080,43,14,13
01-05-2025,Bihar,Madhubani,847305,61,42,10
01-05-2025,Bihar,West Champaran,845454,238,526,10
01-05-2025,Jammu and Kashmir,Baramula,193201,136,39,12
01-05-2025,Uttar Pradesh,Agra,283123,133,33,12
01-05-2025,Bihar,Gopalganj,841405,175,219,11
01-05-2025,Maharashtra,Parbhani,431506,99,18,11
01-05-2025,West Bengal,Darjeeling,734003,119,87,20
01-05-2025,Gujarat,Banaskantha,385001,219,112,16
01-05-2025,Assam,Marigaon,782411,84,154,16
01-05-2025,Madhya Pradesh,Morena,476444,76,66,31
01-05-2025,Gujarat,Dahod,389154,37,76,93
01-05-2025,Uttar Pradesh,Shahjahanpur,242127,194,212,24
01-05-2025,Uttar Pradesh,Meerut,250001,570,334,17
01-05-2025,Gujarat,Chhotaudepur,391160,66,29,13
01-05-2025,Karnataka,Bengaluru,560008,20,20,12
01-05-2025,Uttar Pradesh,Sultanpur,228001,209,205,10
01-05-2025,Punjab,Kapurthala,144601,120,27,81
01-05-2025,Maharashtra,Mumbai Suburban,400070,85,40,11
01-05-2025,Assam,North Cachar Hills,788819,25,39,13
01-05-2025,Bihar,East Champaran,845305,131,190,32
01-05-2025,Gujarat,Navsari,396445,122,21,15
01-05-2025,Uttar Pradesh,Lucknow,226005,71,99,12
01-05-2025,Uttar Pradesh,Gautam Buddha Nagar,201306,284,281,14
01-05-2025,Assam,Sibsagar,785684,19,11,16
01-05-2025,Assam,Udalguri,784114,44,25,14
01-05-2025,Nagaland,Peren,797110,148,119,15
01-05-2025,Uttar Pradesh,Prayagraj,211003,23,45,19
01-05-2025,Maharashtra,Mumbai Suburban,400071,34,15,11
01-05-2025,Uttar Pradesh,Lalitpur,284404,138,71,10
01-05-2025,Assam,Marigaon,782410,46,65,13
01-05-2025,Punjab,Gurdaspur,143521,114,20,13
01-05-2025,Meghalaya,East Khasi Hills,793005,25,80,66
01-05-2025,Assam,Kamrup,781127,58,62,18
01-05-2025,Assam,Udalguri,784514,51,23,18
01-05-2025,Uttar Pradesh,Etah,207302,360,96,12
01-05-2025,Assam,Kamrup Metro,781012,32,24,17
01-05-2025,West Bengal,Uttar Dinajpur,733207,656,680,29
01-05-2025,Gujarat,Bharuch,392001,198,23,10
01-05-2025,Maharashtra,Solapur,413304,271,52,25
01-05-2025,Assam,Dibrugarh,786610,31,15,38
01-05-2025,Haryana,Mewat,122508,1169,147,11
01-05-2025,Madhya Pradesh,Barwani,451449,190,77,11
01-05-2025,Karnataka,Bengaluru,560078,96,64,14
01-05-2025,Meghalaya,East Khasi Hills,793002,30,43,39
01-05-2025,Meghalaya,South Garo Hills,794107,12,22,10
01-05-2025,Maharashtra,Palghar,401209,162,155,14
01-05-2025,Bihar,Bhagalpur,853204,313,289,18
01-05-2025,Gujarat,Surat,395004,406,183,14
01-05-2025,Karnataka,Bengaluru,560064,157,83,29
01-05-2025,West Bengal,Alipurduar,735204,16,72,25
01-05-2025,West Bengal,North 24 Parganas,743423,251,75,11
01-05-2025,Bihar,Sitamarhi,843302,576,587,25
01-05-2025,West Bengal,Cooch Behar,736134,208,121,18
01-05-2025,Assam,Lakhimpur,787031,69,45,13
01-05-2025,Uttar Pradesh,Pilibhit,262122,586,331,10
01-05-2025,Gujarat,Jamnagar,361005,107,18,25
01-05-2025,Assam,Dhemaji,787060,52,44,39
01-05-2025,Assam,Karimganj,788710,12,14,29
01-05-2025,Uttar Pradesh,Hapur,245101,681,450,11
01-05-2025,Chhattisgarh,Bijapur,494444,188,77,107
01-05-2025,Bihar,Patna,800001,86,277,11
01-05-2025,Bihar,Bhagalpur,812005,322,307,12
01-05-2025,Gujarat,Kachchh,370165,59,79,12
01-05-2025,Delhi,East Delhi,110095,299,62,12
01-05-2025,Meghalaya,West Garo Hills,794001,63,64,19
01-05-2025,Assam,Dhemaji,786110,18,21,19
01-05-2025,Uttar Pradesh,Banda,210121,188,227,13
01-05-2025,Bihar,Sitamarhi,843317,321,333,51
01-05-2025,Meghalaya,Ri Bhoi,793101,14,30,26
01-05-2025,Jammu and Kashmir,Jammu,181221,55,16,10
01-05-2025,Uttar Pradesh,Gautam Buddha Nagar,201301,583,634,38
01-05-2025,Assam,Karimganj,788713,17,17,16
01-05-2025,Bihar,Muzaffarpur,843111,351,416,17
01-05-2025,Gujarat,Surat,394210,502,190,11
01-05-2025,Bihar,Muzaffarpur,843128,196,171,10
01-05-2025,Gujarat,Dahod,389140,45,35,86
01-05-2025,Gujarat,Surat,395006,410,147,13
01-05-2025,Gujarat,Bharuch,393001,105,46,13
01-05-2025,Haryana,Faridabad,121004,898,224,19
01-05-2025,Meghalaya,South West Garo Hills,794115,185,106,83
01-05-2025,Assam,Golaghat,785602,120,39,18
01-05-2025,Meghalaya,West Garo Hills,794002,42,342,158
01-05-2025,Maharashtra,Jalgaon,425001,318,56,24
01-05-2025,Karnataka,Bengaluru,560058,91,33,17
01-05-2025,Karnataka,Bengaluru,560067,75,63,45
01-05-2025,Gujarat,Surat,394180,78,22,10
01-05-2025,Bihar,East Champaran,845302,207,386,26
01-05-2025,Uttar Pradesh,Aligarh,202122,135,86,11
01-05-2025,Assam,Sonitpur,784182,55,160,38
01-05-2025,Haryana,Gurgaon,122001,512,143,13
01-05-2025,West Bengal,Kolkata,700023,109,98,14
01-05-2025,Assam,Karbi Anglong,782460,35,273,32
01-05-2025,Uttar Pradesh,Agra,282005,192,173,10
01-05-2025,Bihar,Sitamarhi,843315,105,113,15
01-05-2025,Maharashtra,Nanded,431712,171,16,22
01-05-2025,Manipur,Bishnupur,795134,26,25,12
01-05-2025,Assam,Bongaigaon,783384,110,41,15
01-05-2025,Maharashtra,Solapur,413006,160,34,16
01-05-2025,Meghalaya,East Khasi Hills,793111,30,79,48
01-05-2025,West Bengal,Cooch Behar,736135,384,244,21
01-05-2025,Uttar Pradesh,Lucknow,226008,90,86,13
01-05-2025,Madhya Pradesh,Khargone,451441,304,131,13
01-05-2025,Gujarat,Panchmahals,389001,195,54,32
01-05-2025,Bihar,Saharsa,852127,334,295,13
01-05-2025,Gujarat,Ahmedabad,380005,62,16,11
01-05-2025,Gujarat,Patan,384265,166,40,12
01-05-2025,Madhya Pradesh,Jhabua,457661,308,316,10
01-05-2025,Meghalaya,North Garo Hills,794002,65,168,91
01-05-2025,Assam,Kamrup,781123,32,25,14
01-05-2025,Meghalaya,West Khasi Hills,793119,239,888,544
01-05-2025,Delhi,North West Delhi,110034,198,110,13
01-05-2025,Bihar,Muzaffarpur,842002,239,219,19
01-05-2025,West Bengal,Nadia,741501,168,35,11
01-05-2025,Uttar Pradesh,Budaun,243638,222,228,11
01-05-2025,Bihar,Arwal,804401,43,156,10
01-05-2025,Bihar,Sitamarhi,843319,165,57,10
01-05-2025,Meghalaya,West Garo Hills,794109,104,89,66
01-05-2025,Gujarat,Rajkot,360050,148,23,12
01-05-2025,Karnataka,Bengaluru,560084,24,13,13
01-05-2025,Gujarat,Morbi,363621,164,38,26
01-05-2025,Maharashtra,Pune,410504,52,11,10
01-05-2025,Gujarat,Rajkot,360006,79,18,21
01-05-2025,Karnataka,Bengaluru,560066,92,63,43
01-05-2025,Uttar Pradesh,Shrawasti,271831,201,291,12
01-05-2025,Assam,Nalbari,781369,44,25,14
01-05-2025,Uttar Pradesh,Maharajganj,273303,136,303,12
01-05-2025,Karnataka,Bengaluru,560102,44,35,25
01-05-2025,Meghalaya,West Jaintia Hills,793109,63,167,106
01-05-2025,Haryana,Faridabad,121001,460,87,13
01-05-2025,Meghalaya,Ri Bhoi,793102,99,323,235
01-05-2025,Gujarat,Gir Somnath,362560,100,40,14
01-05-2025,Meghalaya,South Garo Hills,794102,33,123,55
01-05-2025,Gujarat,Dahod,389155,72,97,57
01-05-2025,West Bengal,Uttar Dinajpur,733201,317,215,10
01-05-2025,Assam,Darrang,784145,87,53,308
01-05-2025,West Bengal,Jalpaiguri,735218,75,53,14
01-05-2025,Assam,Kamrup Metro,782402,35,18,36
01-05-2025,Bihar,Sitamarhi,843313,105,122,12
01-05-2025,Gujarat,Mahesana,384001,178,26,13
01-05-2025,Assam,Kamrup,781136,215,198,83
01-05-2025,Uttar Pradesh,Aligarh,202001,1061,847,44
01-05-2025,Gujarat,Ahmedabad,382340,40,35,12
01-05-2025,Assam,Udalguri,784507,32,58,22
01-05-2025,Uttar Pradesh,Rampur,244901,982,486,15
01-05-2025,Assam,West Karbi Anglong,782486,39,216,11
01-05-2025,Delhi,South West Delhi,110061,32,33,12
01-05-2025,Assam,Dibrugarh,786602,11,25,30
01-05-2025,Uttar Pradesh,Sitapur,261205,308,222,21
01-05-2025,Meghalaya,South West Khasi Hills,793106,23,29,63
01-05-2025,Uttar Pradesh,Bahraich,271865,282,494,61
01-05-2025,Karnataka,Bengaluru,560093,14,20,15
01-05-2025,Bihar,Gaya,824236,71,357,20
01-05-2025,Delhi,Central Delhi,110003,53,22,10
01-05-2025,Assam,Barpeta,781309,90,83,10
01-05-2025,Assam,Kamrup,781354,85,48,23
01-05-2025,Maharashtra,Thane,421503,159,95,19
01-05-2025,Madhya Pradesh,Burhanpur,450331,577,130,12
01-05-2025,Uttar Pradesh,Kheri,261505,252,291,12
01-05-2025,Mizoram,Saiha,796901,40,36,51
01-05-2025,Maharashtra,Pune,413801,51,21,10
01-05-2025,Maharashtra,Satara,415523,150,32,10
01-05-2025,Telangana,Hyderabad,500008,475,129,10
01-05-2025,Uttar Pradesh,Varanasi,221107,176,198,10
01-05-2025,Assam,Udalguri,784525,56,20,28
01-05-2025,Bihar,Gaya,824232,202,513,14
01-05-2025,Uttar Pradesh,Shrawasti,271845,78,154,16
01-05-2025,Gujarat,Rajkot,360001,161,37,31
01-05-2025,Punjab,Ludhiana,141015,96,72,15
01-05-2025,Delhi,South West Delhi,110077,107,38,11
01-05-2025,West Bengal,Alipurduar,736182,26,40,18
01-05-2025,West Bengal,Darjeeling,734010,85,67,19
01-05-2025,Assam,Dibrugarh,785675,29,13,22
01-05-2025,Meghalaya,East Khasi Hills,793112,16,50,31
01-05-2025,Gujarat,Banaskantha,385565,95,49,13
01-05-2025,Meghalaya,West Garo Hills,794103,72,119,161
01-05-2025,Bihar,Muzaffarpur,843103,296,133,11
01-05-2025,Gujarat,Dahod,389382,42,35,75
01-05-2025,Uttar Pradesh,Hathras,204101,478,319,11
01-05-2025,Uttar Pradesh,Bahraich,271851,104,114,15
01-05-2025,Assam,Goalpara,783129,201,65,57
01-05-2025,Bihar,Muzaffarpur,843119,371,261,13
01-05-2025,Assam,Golaghat,785609,31,47,15
01-05-2025,Delhi,South Delhi,110065,99,34,11
01-05-2025,Assam,Karimganj,788711,12,14,10
01-05-2025,Meghalaya,West Jaintia Hills,793161,12,50,101
01-05-2025,Assam,Kokrajhar,783370,97,138,17
01-05-2025,Mizoram,Lawngtlai,796770,99,22,14
01-05-2025,Gujarat,Ahmedabad,380018,49,10,11
01-05-2025,Meghalaya,Ri Bhoi,781131,13,30,69
01-05-2025,West Bengal,Kolkata,700016,48,46,10
01-05-2025,Assam,Karbi Anglong,782480,187,508,56
01-05-2025,Manipur,Bishnupur,795133,50,54,18
01-05-2025,Assam,Golaghat,785702,99,94,12
01-05-2025,Meghalaya,Ri Bhoi,793105,60,210,183
01-05-2025,Rajasthan,Alwar,301001,610,179,10
01-05-2025,Bihar,Gaya,805131,28,187,12
01-05-2025,Madhya Pradesh,Bhind,477001,449,132,20
01-05-2025,Assam,Golaghat,785603,35,30,20
01-05-2025,Meghalaya,East Khasi Hills,793016,12,14,23
01-05-2025,Karnataka,Bengaluru,560043,127,102,58
01-05-2025,Meghalaya,East Khasi Hills,793012,37,127,113
01-05-2025,Bihar,Gaya,823001,112,506,10
01-05-2025,Assam,Karbi Anglong,782441,99,326,21
01-05-2025,Uttar Pradesh,Siddharthnagar,272192,123,288,14
01-05-2025,Bihar,Gopalganj,841428,210,276,16
01-05-2025,Punjab,Amritsar,143001,664,284,26
01-05-2025,Meghalaya,East Khasi Hills,793010,65,149,75
01-05-2025,Maharashtra,Nashik,423401,97,14,45
01-05-2025,Gujarat,Banaskantha,385535,325,125,25
01-05-2025,Gujarat,Valsad,396065,277,101,20
01-05-2025,Bihar,Bhagalpur,853205,210,164,11
01-05-2025,Assam,Jorhat,785635,17,24,13
01-05-2025,Bihar,Sitamarhi,843332,142,131,26
01-05-2025,Uttarakhand,Dehradun,248001,477,135,12
01-05-2025,Meghalaya,East Khasi Hills,793001,48,125,50
01-05-2025,Uttar Pradesh,Unnao,209861,192,140,10
01-05-2025,Maharashtra,Yavatmal,445204,196,58,11
01-05-2025,Punjab,Ludhiana,141003,210,86,10
01-05-2025,Karnataka,Bengaluru,560047,40,26,13
01-05-2025,Maharashtra,Nanded,431604,212,64,17
01-05-2025,Bihar,Patna,800111,19,70,11
01-05-2025,Gujarat,Panchmahals,389365,47,19,14
01-05-2025,Karnataka,Bengaluru,560075,23,20,11
01-05-2025,Meghalaya,West Jaintia Hills,793151,66,276,218
01-05-2025,Gujarat,Rajkot,360005,158,41,41
01-05-2025,Uttar Pradesh,Bijnor,246725,352,164,11
01-05-2025,Meghalaya,South Garo Hills,794005,22,128,77
01-05-2025,Tamil Nadu,Cuddalore,607106,120,11,10
01-05-2025,West Bengal,Uttar Dinajpur,733156,242,103,11
01-05-2025,Meghalaya,East Khasi Hills,793019,14,16,18
01-05-2025,Bihar,Bhagalpur,813210,269,284,19
01-05-2025,Bihar,Madhubani,847108,198,381,26
01-05-2025,Karnataka,Bengaluru,560100,129,105,29
01-05-2025,Uttar Pradesh,Chandauli,232103,214,191,14
01-05-2025,Delhi,Central Delhi,110055,155,83,10
01-05-2025,Bihar,Muzaffarpur,843108,54,118,15
01-05-2025,Maharashtra,Thane,400601,80,30,14
01-05-2025,West Bengal,North 24 Parganas,743145,74,52,12
01-05-2025,Karnataka,Bengaluru,560076,95,81,21
01-05-2025,Uttar Pradesh,Agra,282001,845,488,22
01-05-2025,Maharashtra,Pune,411006,74,22,10
01-05-2025,Uttar Pradesh,Banda,210001,314,279,29
01-05-2025,West Bengal,Jalpaiguri,735224,121,49,10
01-05-2025,Kerala,Kollam,691532,34,12,10
01-05-2025,Bihar,Sitamarhi,843331,590,286,24
01-05-2025,Bihar,East Champaran,845401,235,645,17
01-05-2025,Gujarat,Vadodara,390019,158,78,10
01-05-2025,Gujarat,Jamnagar,361001,179,29,10
01-05-2025,Maharashtra,Mumbai Suburban,400064,43,12,14
01-05-2025,Bihar,East Champaran,845304,178,96,14
01-05-2025,Gujarat,Ahmedabad,380026,121,47,12
01-05-2025,Gujarat,Dahod,389130,25,10,25
01-05-2025,Madhya Pradesh,Barwani,451666,838,374,11
01-05-2025,Gujarat,Chhotaudepur,391165,61,32,15
01-05-2025,Maharashtra,Mumbai Suburban,400043,183,117,24
01-05-2025,Bihar,East Champaran,845415,192,377,12
01-05-2025,Punjab,Patiala,147001,456,125,23
01-05-2025,Karnataka,Bengaluru,560097,77,39,12
01-05-2025,Assam,Kamrup,781141,81,45,14
01-05-2025,Gujarat,The Dangs,394716,60,32,24
01-05-2025,Bihar,Katihar,854105,270,215,10
01-05-2025,Gujarat,Ahmedabad,380051,92,54,12
01-05-2025,Karnataka,Bengaluru,560037,81,61,57
01-05-2025,Uttar Pradesh,Kheri,262804,403,246,10
01-05-2025,Assam,Golaghat,785614,112,108,33
01-05-2025,Madhya Pradesh,Indore,452001,519,111,18
01-05-2025,Uttar Pradesh,Gorakhpur,273008,34,105,19
01-05-2025,West Bengal,Cooch Behar,736165,182,61,28
01-05-2025,Uttar Pradesh,Gorakhpur,273001,95,247,22
01-05-2025,Meghalaya,East Khasi Hills,793022,10,44,46
01-05-2025,Gujarat,Jamnagar,361006,93,20,21
01-05-2025,Maharashtra,Thane,421302,547,265,20
01-05-2025,Assam,Charaideo,785692,29,11,10
01-05-2025,Maharashtra,Jalgaon,425107,188,36,19
01-05-2025,Karnataka,Bengaluru,560103,55,30,33
01-05-2025,Meghalaya,East Khasi Hills,793121,88,373,435
01-05-2025,Gujarat,Devbhumi Dwarka,361305,131,13,10
01-05-2025,Uttar Pradesh,Bahraich,271830,136,218,27
01-05-2025,Kerala,Malappuram,679325,135,121,10
01-05-2025,Madhya Pradesh,Chhatarpur,471313,209,158,18
01-05-2025,Assam,Kamrup,781366,50,25,12
01-05-2025,West Bengal,Birbhum,731204,204,61,13
01-05-2025,Uttar Pradesh,Maharajganj,273164,263,341,16
01-05-2025,Punjab,Ludhiana,141008,330,149,10
01-05-2025,Bihar,Siwan,841226,269,384,12
01-05-2025,Bihar,Madhubani,847421,99,186,31
01-05-2025,Maharashtra,Dhule,424304,118,46,18
01-05-2025,Assam,Golaghat,785621,51,42,19
01-05-2025,West Bengal,Jalpaiguri,735210,134,215,19
01-05-2025,Bihar,Muzaffarpur,843109,223,211,17
01-05-2025,Delhi,South West Delhi,110045,309,117,25
01-05-2025,Madhya Pradesh,Alirajpur,457882,66,42,25
01-05-2025,Chhattisgarh,Baloda Bazar,493118,492,35,17
01-05-2025,Assam,Lakhimpur,784160,23,24,19
01-05-2025,Meghalaya,South West Garo Hills,794106,49,38,18
01-05-2025,Karnataka,Bengaluru,560087,84,45,36
01-05-2025,Uttar Pradesh,Moradabad,244001,1673,793,79
01-05-2025,Assam,Lakhimpur,787001,27,21,10
01-05-2025,Bihar,Kaimur (Bhabua),821108,130,242,10
01-05-2025,Uttar Pradesh,Shahjahanpur,242221,322,253,14
01-05-2025,Bihar,East Champaran,845433,182,344,32
01-05-2025,Assam,Kamrup,781103,27,33,11
01-05-2025,Uttar Pradesh,Siddharthnagar,272153,253,494,11
01-05-2025,West Bengal,Uttar Dinajpur,733129,237,141,34
01-05-2025,Bihar,Bhagalpur,813209,249,224,11
01-05-2025,Delhi,North West Delhi,110040,170,141,12
01-05-2025,Karnataka,Bengaluru,560035,101,70,60
01-05-2025,Maharashtra,Mumbai Suburban,400072,96,45,52
01-05-2025,Chhattisgarh,Sukma,494122,178,55,19
01-05-2025,Karnataka,Bengaluru,560077,102,95,41
01-05-2025,Bihar,Sitamarhi,843324,615,417,92
01-05-2025,Maharashtra,Mumbai Suburban,400065,30,12,10
01-05-2025,Rajasthan,Jodhpur,342001,595,190,15
01-05-2025,Gujarat,Panchmahals,389120,69,10,15
01-05-2025,Maharashtra,Yavatmal,445205,85,14,19
01-05-2025,Uttar Pradesh,Ghaziabad,201001,668,506,13
01-05-2025,Meghalaya,South Garo Hills,794114,23,36,18
01-05-2025,Meghalaya,East Khasi Hills,793110,91,298,155
01-05-2025,Assam,Karimganj,788722,52,32,10
01-05-2025,Uttar Pradesh,Aligarh,202136,58,39,10
01-05-2025,Assam,Dhemaji,787057,62,32,27
01-05-2025,Madhya Pradesh,Ashok Nagar,473331,161,40,19
01-05-2025,Uttar Pradesh,Ghaziabad,201012,53,77,11
01-05-2025,Assam,Lakhimpur,787032,49,25,44
01-05-2025,Meghalaya,East Garo Hills,794110,71,164,92
01-05-2025,Assam,Golaghat,785601,148,210,21
01-05-2025,Uttar Pradesh,Rampur,244921,322,214,12
